 buffa 0x8140000  buffb 0x8145000
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1181, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1183, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1181
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
 => addr 0x8140000 avg -0.1183, addr 0x8145000 avg -0.1183
 => addr 0x8140000 avg -0.1182, addr 0x8145000 avg -0.1182
